epoch,step,train_acc,train_loss
0,0,0.2613111734390259,1.1898846626281738
1,1,0.3333333432674408,1.1437417268753052
2,2,0.3333333432674408,1.100645661354065
3,3,0.35364726185798645,1.0604990720748901
4,4,0.4062788486480713,1.0232247114181519
5,5,0.4672206938266754,0.9887619614601135
6,6,0.5678670406341553,0.9570384621620178
7,7,0.6297322511672974,0.927963376045227
8,8,0.6084949374198914,0.9014184474945068
9,9,0.586334228515625,0.8772776126861572
10,10,0.5660203099250793,0.8553958535194397
11,11,0.5660203099250793,0.8356379866600037
12,12,0.5567867159843445,0.8178581595420837
13,13,0.5493997931480408,0.8019131422042847
14,14,0.5475531220436096,0.787659764289856
15,15,0.5457063913345337,0.7749348282814026
16,16,0.5466297268867493,0.7635698914527893
17,17,0.5447829961776733,0.7534128427505493
18,18,0.5475531220436096,0.7442958354949951
19,19,0.5466297268867493,0.7360634207725525
20,20,0.5466297268867493,0.7285833358764648
21,21,0.5512465238571167,0.7217206358909607
22,22,0.5512465238571167,0.7153697609901428
23,23,0.5530932545661926,0.7094452977180481
24,24,0.554016649723053,0.7038589715957642
25,25,0.5558633208274841,0.6985378265380859
26,26,0.5586334466934204,0.6934142112731934
27,27,0.559556782245636,0.6884288191795349
28,28,0.5641735792160034,0.6835428476333618
29,29,0.5650969743728638,0.6787277460098267
30,30,0.5678670406341553,0.6739640831947327
31,31,0.5734071731567383,0.6692090630531311
32,32,0.5743305683135986,0.6644660830497742
33,33,0.5761772990226746,0.6597229838371277
34,34,0.5789473652839661,0.654960572719574
35,35,0.5817174315452576,0.6501845121383667
36,36,0.5835641622543335,0.6453788876533508
37,37,0.5872576236724854,0.6405540704727173
38,38,0.5891043543815613,0.6357160210609436
39,39,0.5927977561950684,0.6308626532554626
40,40,0.5946444869041443,0.6259899139404297
41,41,0.5983379483222961,0.6211069822311401
42,42,0.5992612838745117,0.6161931753158569
43,43,0.6029547452926636,0.6112508177757263
44,44,0.6066482067108154,0.6062694787979126
45,45,0.6103416681289673,0.6012632250785828
46,46,0.6140350699424744,0.5962386131286621
47,47,0.6168051958084106,0.5911936163902283
48,48,0.6177285313606262,0.5861252546310425
49,49,0.6241920590400696,0.5810371041297913
50,50,0.6325023174285889,0.5759313702583313
51,51,0.6361957788467407,0.5708045959472656
52,52,0.6435826420783997,0.5656638145446777
53,53,0.6472761034965515,0.5605093240737915
54,54,0.6546629667282104,0.5553532242774963
55,55,0.6638965606689453,0.5501989722251892
56,56,0.6685134172439575,0.5450459122657776
57,57,0.678670346736908,0.5398895740509033
58,58,0.6897506713867188,0.534736156463623
59,59,0.7063711881637573,0.5295814871788025
60,60,0.7156047821044922,0.5244345664978027
61,61,0.7239150404930115,0.5192970037460327
62,62,0.7340720295906067,0.5141679644584656
63,63,0.7433056235313416,0.5090452432632446
64,64,0.7488458156585693,0.5039291977882385
65,65,0.7543859481811523,0.4988217353820801
66,66,0.7626962065696716,0.4937291443347931
67,67,0.7673130035400391,0.48865044116973877
68,68,0.7710064649581909,0.4835893213748932
69,69,0.7756232619285583,0.47854483127593994
70,70,0.7783933281898499,0.47351542115211487
71,71,0.7839335203170776,0.4685017466545105
72,72,0.7876269817352295,0.46350154280662537
73,73,0.7940905094146729,0.4585224688053131
74,74,0.8014773726463318,0.4535693824291229
75,75,0.8060941696166992,0.4486418664455414
76,76,0.8134810924530029,0.4437394440174103
77,77,0.8227146863937378,0.43886324763298035
78,78,0.8264081478118896,0.43402180075645447
79,79,0.8291782140731812,0.42921459674835205
80,80,0.8310249447822571,0.42443951964378357
81,81,0.8347183465957642,0.4196990728378296
82,82,0.8374884724617004,0.4149947166442871
83,83,0.8402585387229919,0.4103313088417053
84,84,0.8411818742752075,0.40570926666259766
85,85,0.8448753356933594,0.40112996101379395
86,86,0.8476454019546509,0.39659228920936584
87,87,0.8494921326637268,0.3921000063419342
88,88,0.8504155278205872,0.3876528739929199
89,89,0.8531855940818787,0.3832568824291229
90,90,0.8568790555000305,0.3789081871509552
91,91,0.8587257862091064,0.3746058940887451
92,92,0.861495852470398,0.3703511357307434
93,93,0.8624191880226135,0.3661451041698456
94,94,0.8633425831794739,0.36198967695236206
95,95,0.8661126494407654,0.3578847646713257
96,96,0.8688827157020569,0.353830486536026
97,97,0.8688827157020569,0.3498271107673645
98,98,0.8716528415679932,0.3458766043186188
99,99,0.8725761771202087,0.3419763743877411
